country,lifeExp
Albania,67.69
Albania,68.93
Albania,70.42
Albania,72
Albania,71.581
Albania,72.95
Albania,75.651
Albania,76.423
Austria,70.63
Austria,72.17
Austria,73.18
Austria,74.94
Austria,76.04
Austria,77.51
Austria,78.98
Austria,79.829
Belgium,71.44
Belgium,72.8
Belgium,73.93
Belgium,75.35
Belgium,76.46
Belgium,77.53
Belgium,78.32
Belgium,79.441
Bosnia and Herzegovina,67.45
Bosnia and Herzegovina,69.86
Bosnia and Herzegovina,70.69
Bosnia and Herzegovina,71.14
Bosnia and Herzegovina,72.178
Bosnia and Herzegovina,73.244
Bosnia and Herzegovina,74.09
Bosnia and Herzegovina,74.852
Bulgaria,70.9
Bulgaria,70.81
Bulgaria,71.08
Bulgaria,71.34
Bulgaria,71.19
Bulgaria,70.32
Bulgaria,72.14
Bulgaria,73.005
Croatia,69.61
Croatia,70.64
Croatia,70.46
Croatia,71.52
Croatia,72.527
Croatia,73.68
Croatia,74.876
Croatia,75.748
Czech Republic,70.29
Czech Republic,70.71
Czech Republic,70.96
Czech Republic,71.58
Czech Republic,72.4
Czech Republic,74.01
Czech Republic,75.51
Czech Republic,76.486
Denmark,73.47
Denmark,74.69
Denmark,74.63
Denmark,74.8
Denmark,75.33
Denmark,76.11
Denmark,77.18
Denmark,78.332
Finland,70.87
Finland,72.52
Finland,74.55
Finland,74.83
Finland,75.7
Finland,77.13
Finland,78.37
Finland,79.313
France,72.38
France,73.83
France,74.89
France,76.34
France,77.46
France,78.64
France,79.59
France,80.657
Germany,71
Germany,72.5
Germany,73.8
Germany,74.847
Germany,76.07
Germany,77.34
Germany,78.67
Germany,79.406
Greece,72.34
Greece,73.68
Greece,75.24
Greece,76.67
Greece,77.03
Greece,77.869
Greece,78.256
Greece,79.483
Hungary,69.76
Hungary,69.95
Hungary,69.39
Hungary,69.58
Hungary,69.17
Hungary,71.04
Hungary,72.59
Hungary,73.338
Iceland,74.46
Iceland,76.11
Iceland,76.99
Iceland,77.23
Iceland,78.77
Iceland,78.95
Iceland,80.5
Iceland,81.757
Ireland,71.28
Ireland,72.03
Ireland,73.1
Ireland,74.36
Ireland,75.467
Ireland,76.122
Ireland,77.783
Ireland,78.885
Italy,72.19
Italy,73.48
Italy,74.98
Italy,76.42
Italy,77.44
Italy,78.82
Italy,80.24
Italy,80.546
Montenegro,70.636
Montenegro,73.066
Montenegro,74.101
Montenegro,74.865
Montenegro,75.435
Montenegro,75.445
Montenegro,73.981
Montenegro,74.543
Netherlands,73.75
Netherlands,75.24
Netherlands,76.05
Netherlands,76.83
Netherlands,77.42
Netherlands,78.03
Netherlands,78.53
Netherlands,79.762
Norway,74.34
Norway,75.37
Norway,75.97
Norway,75.89
Norway,77.32
Norway,78.32
Norway,79.05
Norway,80.196
Poland,70.85
Poland,70.67
Poland,71.32
Poland,70.98
Poland,70.99
Poland,72.75
Poland,74.67
Poland,75.563
Portugal,69.26
Portugal,70.41
Portugal,72.77
Portugal,74.06
Portugal,74.86
Portugal,75.97
Portugal,77.29
Portugal,78.098
Romania,69.21
Romania,69.46
Romania,69.66
Romania,69.53
Romania,69.36
Romania,69.72
Romania,71.322
Romania,72.476
Serbia,68.7
Serbia,70.3
Serbia,70.162
Serbia,71.218
Serbia,71.659
Serbia,72.232
Serbia,73.213
Serbia,74.002
Slovak Republic,70.35
Slovak Republic,70.45
Slovak Republic,70.8
Slovak Republic,71.08
Slovak Republic,71.38
Slovak Republic,72.71
Slovak Republic,73.8
Slovak Republic,74.663
Slovenia,69.82
Slovenia,70.97
Slovenia,71.063
Slovenia,72.25
Slovenia,73.64
Slovenia,75.13
Slovenia,76.66
Slovenia,77.926
Spain,73.06
Spain,74.39
Spain,76.3
Spain,76.9
Spain,77.57
Spain,78.77
Spain,79.78
Spain,80.941
Sweden,74.72
Sweden,75.44
Sweden,76.42
Sweden,77.19
Sweden,78.16
Sweden,79.39
Sweden,80.04
Sweden,80.884
Switzerland,73.78
Switzerland,75.39
Switzerland,76.21
Switzerland,77.41
Switzerland,78.03
Switzerland,79.37
Switzerland,80.62
Switzerland,81.701
Turkey,57.005
Turkey,59.507
Turkey,61.036
Turkey,63.108
Turkey,66.146
Turkey,68.835
Turkey,70.845
Turkey,71.777
United Kingdom,72.01
United Kingdom,72.76
United Kingdom,74.04
United Kingdom,75.007
United Kingdom,76.42
United Kingdom,77.218
United Kingdom,78.471
United Kingdom,79.425
